City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Akyab,MM,20.15,92.9,82.69,75,15,0.67,few clouds
333,Vilyuysk,RU,63.7553,121.6247,33.28,99,100,6.13,overcast clouds
334,Taft,IR,31.7471,54.2088,69.75,32,100,3.09,overcast clouds
335,Sirawai,PH,7.5854,122.1407,85.06,65,56,1.9,broken clouds
336,Vegreville,CA,53.5001,-112.0518,48.2,15,75,10.36,broken clouds
337,Touros,BR,-5.1989,-35.4608,78.8,83,40,4.61,scattered clouds
338,Balabac,PH,7.9868,117.0645,83.43,73,74,6.82,broken clouds
339,Leningradskiy,RU,69.3833,178.4167,28.63,83,100,1.23,overcast clouds
340,Cidreira,BR,-30.1811,-50.2056,67.3,63,100,11.63,overcast clouds
341,Boende,CD,-0.2167,20.8667,73.02,89,100,2.3,overcast clouds
342,Winnemucca,US,40.973,-117.7357,46.4,66,90,12.66,overcast clouds
343,Chimbarongo,CL,-34.7,-71.05,57.0,71,0,2.3,clear sky
344,Honggang,CN,46.4667,124.8667,58.15,22,100,14.27,overcast clouds
345,Nynashamn,SE,58.9034,17.9479,35.01,80,90,6.91,overcast clouds
346,Morondava,MG,-20.2833,44.2833,74.5,77,100,5.61,overcast clouds
